epoch,loss
0,0.001246585976332426
1,0.000275314727332443
2,0.00022653766791336238
3,0.0002435866481391713
4,0.00020957198285032064
5,0.00018996023572981358
6,0.00021960939920973033
7,0.00017189006030093879
8,0.0001771548413671553
9,0.00015481877198908478
10,0.00015619864279869944
11,0.0001406175288138911
12,0.00013805614435113966
13,0.00014373750309459865
14,0.00013216579100117087
15,0.00014041418035048991
16,0.00012829009210690856
17,0.00013003875210415572
18,0.00012978118320461363
19,0.00012644147500395775
20,0.00010535500769037753
21,0.00011136575631098822
22,0.00011387585254851729
23,0.00010593520710244775
24,0.00010377963917562738
25,9.580422192811966e-05
26,0.00010816004214575514
27,0.00010523766104597598
28,0.00012814403453376144
29,0.00010070877033285797
30,9.724452684167773e-05
31,0.00010621402179822326
32,9.705808770377189e-05
33,0.00010926986578851938
34,9.196917380904779e-05
35,9.415033855475485e-05
36,0.00010111839219462126
37,8.11651480034925e-05
38,8.12449143268168e-05
39,9.094080451177433e-05
40,8.838261419441551e-05
41,9.60029210546054e-05
42,8.578873530495912e-05
43,7.71030317991972e-05
44,8.978945697890595e-05
45,0.0001038269983837381
46,0.000111012916022446
47,8.813054591882974e-05
48,7.496541365981102e-05
49,8.773525041760877e-05
