epoch,loss
0,0.00884216744452715
1,0.0023159938864409924
2,0.0022469835821539164
3,0.00235404702834785
4,0.0022431781981140375
5,0.0018849483458325267
6,0.0016128172865137458
7,0.0020804433152079582
8,0.001617050846107304
9,0.0015366398729383945
10,0.0016203798586502671
11,0.0015523242764174938
12,0.0015317830257117748
13,0.0013213122729212046
14,0.0015449852216988802
15,0.001333393040113151
16,0.001203522551804781
17,0.001195714809000492
18,0.0012726342538371682
19,0.0011492916382849216
20,0.0011320343473926187
21,0.0010505558457225561
22,0.0011296129086986184
23,0.0010663692373782396
24,0.0009802324930205941
25,0.0009819907136261463
26,0.0009661391377449036
27,0.001043383264914155
28,0.00098883465398103
29,0.0009338209638372064
30,0.001071880804374814
31,0.000870629446581006
32,0.0009442461305297911
33,0.0009570027468726039
34,0.000796973705291748
35,0.0008694642456248403
36,0.0009843766456469893
37,0.0008062769193202257
38,0.0007404402131214738
39,0.0007290788344107568
40,0.0007624771678820252
41,0.000775112013798207
42,0.0008128096233122051
43,0.0008854076149873435
44,0.0007865140796639025
45,0.0008383794338442385
46,0.0007926656980998814
47,0.0007982880342751741
48,0.0007576775387860835
49,0.0006705244304612279
